nonce,addres,date,project,hash
15,0x2b0eb9cb44c717784A4879466FB7fA2D5A214B33,2023-06-23T23:21:49.648Z,zks.network/ 域名注册,0xb96f1f4a81427bba3d68cd6d7f17739ee862f88459def153f6c3dda2fc3e2b06
12,0x71E284725247a4B6197CA9FD3131A99FCa7051CD,2023-06-25T14:09:25.707Z,syncswap.xyz/ 批准代币,0xc3cf4a30780f17d7cc0d1245c03646d036644b023e76396b31915c73992bf873
17,0x25e6F67F11f927c1C92A34223BDd11Ab4bBFB118,2023-06-25T22:33:19.818Z,zk-mint.pixelcase.io/ mint nft,0x0144d8181a2215f32f7d0787ee1c0ba4e023a2ae5960341b943b58cd0c10f287
4,0x665A550a00419195EA95667257E62Ee483424535,2023-06-27T17:55:03.911Z,syncswap.xyz 批准代币,0x8d06cb1a5f862829ff270f8f39b51e90ff7debc0d9bd0d991eefb6a49f3d6284
4,0x3690C9c455f6092b9ECd23c15c28e5443Eaeeb04,2023-06-27T18:19:06.679Z,app.mute.io/swap 批准代币,0x6093c310f214884dc2e8ced3bfb3a0358bced4faa863e76f205e908c3ee2a7d4
6,0x3690C9c455f6092b9ECd23c15c28e5443Eaeeb04,2023-06-27T19:15:11.775Z,app.mute.io/swap 批准代币,0xc6ad6395d92eb3ce6146363dc326e5718e87199c3bb1cae919152a3faaad9b53
7,0x3690C9c455f6092b9ECd23c15c28e5443Eaeeb04,2023-06-27T19:34:40.870Z,app.mute.io/swap 批准代币,0xf2fe416b41789106debc95d767a80d01f3fe61cf24af00c59b43124d376eb62b
8,0x3690C9c455f6092b9ECd23c15c28e5443Eaeeb04,2023-06-27T19:40:15.037Z,app.mute.io/swap 批准代币,0xb938dcc5031b8a3503a6911f09b15d6aba5cda7508771d3e47372aa560160583
9,0x3690C9c455f6092b9ECd23c15c28e5443Eaeeb04,2023-06-29T01:29:46.910Z,app.mute.io/swap 批准代币,0x90cce8e22ccb96db7f1a5bb3eb569c28ca694bcc3f4af417fc1ea1e63d6460d2
10,0x3690C9c455f6092b9ECd23c15c28e5443Eaeeb04,2023-06-29T13:51:10.920Z,app.mute.io/swap 批准代币,0xe41949d9eaca477ea7667efa381cdd03489423911744a3696208f04f8926a4e0
11,0x3690C9c455f6092b9ECd23c15c28e5443Eaeeb04,2023-06-29T14:04:44.432Z,app.mute.io/swap 兑换代币,0x336a8ae98e8ede056687fe864d404002a30dc3ef0594a80f27cc11e2855fae9f
13,0x71E284725247a4B6197CA9FD3131A99FCa7051CD,2023-06-30T20:15:57.907Z,https://app.mute.io/swap 批准代币,0xd0f7fe2ad9096266ba8a7114c18bd979bcccdd85339290e3d5e5ca9bd01e8570
14,0x71E284725247a4B6197CA9FD3131A99FCa7051CD,2023-06-30T20:55:09.611Z,https://app.mute.io/swap 批准代币,0x53cf2858a6030ce8c00aad7c6365e84a1e0edd1d6e01cb73929bd79929e3248c
15,0x71E284725247a4B6197CA9FD3131A99FCa7051CD,2023-06-30T22:18:57.911Z,https://app.mute.io/swap 兑换代币,0x09af5d37cae7897a8e801ca6c5f27ca80af3b46bd5d77d3e5ea36c36cab0d438
3,0x000d80ac6627e85783dF667018C775589B495653,2023-07-01T14:21:47.554Z,https://app.mute.io/swap 批准代币,0xfd3e420a79fd466f859dc97c8fbb6eb5b3c888ba0dcb14e3a5dde7be8af672f6
